tmucodigo;tmudenominacao;tmuuf
"93190";"CORUMBAIBA";"GO"
"63550";"CORUMBATAI";"SP"
"84794";"CORUMBATAI DO SUL";"PR"
"09814";"CORUMBIARA";"RO"
"80870";"CORUPA";"SC"
"27456";"CORURIPE";"AL"
"63576";"COSMOPOLIS";"SP"
"63592";"COSMORAMA";"SP"
"00213";"COSTA MARQUES";"RO"
"98035";"COSTA RICA";"MS"
"34878";"COTEGIPE";"BA"
"63614";"COTIA";"SP"
"89770";"COTIPORA";"RS"
"00892";"COTRIGUACU";"MT"
"93211";"COUTO DE MAGALHAES";"TO"
"44016";"COUTO DE MAGALHAES DE MINAS";"MG"
"57975";"COXILHA";"RS"
"90654";"COXIM";"MS"
"04723";"COXIXOLA";"PB"
"28894";"CRAIBAS";"AL"
"13838";"CRATEUS";"CE"
"13854";"CRATO";"CE"
"63630";"CRAVINHOS";"SP"
"34894";"CRAVOLANDIA";"BA"
"80896";"CRICIUMA";"SC"
"05967";"CRISOLITA";"MG"
"34916";"CRISOPOLIS";"BA"
"86177";"CRISSIUMAL";"RS"
"44032";"CRISTAIS";"MG"
"63657";"CRISTAIS PAULISTA";"SP"
"84310";"CRISTAL";"RS"
"09725";"CRISTAL DO SUL";"RS"
"93238";"CRISTALANDIA";"TO"
"10596";"CRISTALANDIA DO PIAUI";"PI"
"44059";"CRISTALIA";"MG"
"93254";"CRISTALINA";"GO"
"44075";"CRISTIANO OTONI";"MG"
"93270";"CRISTIANOPOLIS";"GO"
"44091";"CRISTINA";"MG"
"31330";"CRISTINAPOLIS";"SE"
"10618";"CRISTINO CASTRO";"PI"
"34932";"CRISTOPOLIS";"BA"
"93297";"CRIXAS";"GO"
"00825";"CRIXAS DO TOCANTINS";"TO"
"12416";"CROATA";"CE"
"93319";"CROMINIA";"GO"
"44113";"CRUCILANDIA";"MG"
"15890";"CRUZ";"CE"
"86193";"CRUZ ALTA";"RS"
"34959";"CRUZ DAS ALMAS";"BA"
"19992";"CRUZ DO ESPIRITO SANTO";"PB"
"75337";"CRUZ MACHADO";"PR"
"63673";"CRUZALIA";"SP"
"63690";"CRUZEIRO";"SP"
"44130";"CRUZEIRO DA FORTALEZA";"MG"
"54739";"CRUZEIRO DO IGUACU";"PR"
"75299";"CRUZEIRO DO OESTE";"PR"
"01074";"CRUZEIRO DO SUL";"AC"
"75310";"CRUZEIRO DO SUL";"PR"
"86215";"CRUZEIRO DO SUL";"RS"
"16594";"CRUZETA";"RN"
"44156";"CRUZILIA";"MG"
"08486";"CRUZMALTINA";"PR"
"63711";"CUBATAO";"SP"
"20010";"CUBATI";"PB"
"90670";"CUIABA";"MT"
"20036";"CUITE";"PB"
"04740";"CUITE DE MAMANGUAPE";"PB"
"20052";"CUITEGI";"PB"
"00086";"CUJUBIM";"RO"
"93335";"CUMARI";"GO"
"23973";"CUMARU";"PE"
"03859";"CUMARU DO NORTE";"PA"
"31372";"CUMBE";"SE"
"63738";"CUNHA";"SP"
"80918";"CUNHA PORA";"SC"
"09105";"CUNHATAI";"SC"
"05983";"CUPARAQUE";"MG"
"23990";"CUPIRA";"PE"
"34975";"CURACA";"BA"
"10634";"CURIMATA";"PI"
"05819";"CURIONOPOLIS";"PA"
"75353";"CURITIBA";"PR"
"80934";"CURITIBANOS";"SC"
"75370";"CURIUVA";"PR"
"03085";"CURRAIS";"PI"
"16616";"CURRAIS NOVOS";"RN"
"04766";"CURRAL DE CIMA";"PB"
"06009";"CURRAL DE DENTRO";"MG"
"03123";"CURRAL NOVO DO PIAUI";"PI"
"20079";"CURRAL VELHO";"PB"
"04553";"CURRALINHO";"PA"
"03107";"CURRALINHOS";"PI"
"00507";"CURUA";"PA"
"04570";"CURUCA";"PA"
"07714";"CURURUPU";"MA"
"44172";"CURVELO";"MG"
"24015";"CUSTODIA";"PE"
"06670";"CUTIAS";"AP"
"93351";"DAMIANOPOLIS";"GO"
"04782";"DAMIAO";"PB"
"93378";"DAMOLANDIA";"GO"
"01791";"DARCINOPOLIS";"TO"
"34991";"DARIO MEIRA";"BA"
"44199";"DATAS";"MG"
"86231";"DAVID CANABARRO";"RS"
"93394";"DAVINOPOLIS";"GO"
"01546";"DAVINOPOLIS";"MA"
"44210";"DELFIM MOREIRA";"MG"
"44237";"DELFINOPOLIS";"MG"
"27472";"DELMIRO GOUVEIA";"AL"
"06025";"DELTA";"MG"
"10650";"DEMERVAL LOBAO";"PI"
"98337";"DENISE";"MT"
"91758";"DEODAPOLIS";"MS"
"12432";"DEPUTADO IRAPUAN PINHEIRO";"CE"
"60739";"DERRUBADAS";"RS"
"63754";"DESCALVADO";"SP"
"80950";"DESCANSO";"SC"
"44253";"DESCOBERTO";"MG"
"20095";"DESTERRO";"PB"
"44270";"DESTERRO DE ENTRE RIOS";"MG"
"44296";"DESTERRO DO MELO";"MG"
"84298";"DEZESSEIS DE NOVEMBRO";"RS"
"63770";"DIADEMA";"SP"
"20133";"DIAMANTE";"PB"
"75396";"DIAMANTE DO NORTE";"PR"
"54658";"DIAMANTE DO SUL";"PR"
"99155";"DIAMANTE DOESTE";"PR"
"44318";"DIAMANTINA";"MG"
"90697";"DIAMANTINO";"MT"
"93416";"DIANOPOLIS";"TO"
"30872";"DIAS DAVILA";"BA"
"09741";"DILERMANDO DE AGUIAR";"RS"
"44334";"DIOGO DE VASCONCELOS";"MG"
"44350";"DIONISIO";"MG"
"80977";"DIONISIO CERQUEIRA";"SC"
"93432";"DIORAMA";"GO"
"72494";"DIRCE REIS";"SP"
"12297";"DIRCEU ARCOVERDE";"PI"
"31399";"DIVINA PASTORA";"SE"
"44377";"DIVINESIA";"MG"
"44393";"DIVINO";"MG"
"44415";"DIVINO DAS LARANJEIRAS";"MG"
"56359";"DIVINO DE SAO LOURENCO";"ES"
"63797";"DIVINOLANDIA";"SP"
"44431";"DIVINOLANDIA DE MINAS";"MG"
"44458";"DIVINOPOLIS";"MG"
"93092";"DIVINOPOLIS DE GOIAS";"GO"
"97195";"DIVINOPOLIS DO TOCANTINS";"TO"
"06041";"DIVISA ALEGRE";"MG"
"44474";"DIVISA NOVA";"MG"
"26573";"DIVISOPOLIS";"MG"
"63819";"DOBRADA";"SP"
"63835";"DOIS CORREGOS";"SP"
"86258";"DOIS IRMAOS";"RS"
"59714";"DOIS IRMAOS DAS MISSOES";"RS"
"97934";"DOIS IRMAOS DO BURITI";"MS"
"93459";"DOIS IRMAOS DO TOCANTINS";"TO"
"84271";"DOIS LAJEADOS";"RS"
"27499";"DOIS RIACHOS";"AL"
"75418";"DOIS VIZINHOS";"PR"
"63851";"DOLCINOPOLIS";"SP"
"90719";"DOM AQUINO";"MT"
"35017";"DOM BASILIO";"BA"
"06068";"DOM BOSCO";"MG"
"44490";"DOM CAVATI";"MG"
"05835";"DOM ELISEU";"PA"
"10677";"DOM EXPEDITO LOPES";"PI"
"86274";"DOM FELICIANO";"RS"
"12890";"DOM INOCENCIO";"PI"
"44512";"DOM JOAQUIM";"MG"
"35033";"DOM MACEDO COSTA";"BA"
"86290";"DOM PEDRITO";"RS"
"07730";"DOM PEDRO";"MA"
"09768";"DOM PEDRO DE ALCANTARA";"RS"
"44539";"DOM SILVERIO";"MG"
"44555";"DOM VICOSO";"MG"
"56375";"DOMINGOS MARTINS";"ES"
"11410";"DOMINGOS MOURAO";"PI"
"80993";"DONA EMMA";"SC"
"44571";"DONA EUZEBIA";"MG"
"86312";"DONA FRANCISCA";"RS"
"20150";"DONA INES";"PB"
"44598";"DORES DE CAMPOS";"MG"
"44610";"DORES DE GUANHAES";"MG"
"44636";"DORES DO INDAIA";"MG"
"56391";"DORES DO RIO PRETO";"ES"
"44652";"DORES DO TURVO";"MG"
"44679";"DORESOPOLIS";"MG"
"22993";"DORMENTES";"PE"
"84654";"DOURADINA";"PR"
"98051";"DOURADINA";"MS"
"63878";"DOURADO";"SP"
"44695";"DOURADOQUARA";"MG"
"90735";"DOURADOS";"MS"
"75434";"DOUTOR CAMARGO";"PR"
"84255";"DOUTOR MAURICIO CARDOSO";"RS"
"99457";"DOUTOR PEDRINHO";"SC"
"09784";"DOUTOR RICARDO";"RS"
"16632";"DOUTOR SEVERIANO";"RN"
"54496";"DOUTOR ULYSSES";"PR"
"96750";"DOVERLANDIA";"GO"
"63894";"DRACENA";"SP"
"63916";"DUARTINA";"SP"
"58319";"DUAS BARRAS";"RJ"
"20176";"DUAS ESTRADAS";"PB"
"93475";"DUERE";"TO"
"63932";"DUMONT";"SP"
"07757";"DUQUE BACELAR";"MA"
"58335";"DUQUE DE CAXIAS";"RJ"
"26751";"DURANDE";"MG"
"63959";"ECHAPORA";"SP"
"56413";"ECOPORANGA";"ES"
"97950";"EDEALINA";"GO"
"93491";"EDEIA";"GO"
"02291";"EIRUNEPE";"AM"
"63975";"ELDORADO";"SP"
"91731";"ELDORADO";"MS"
"84239";"ELDORADO DO SUL";"RS"
"03778";"ELDORADO DOS CARAJAS";"PA"
"10693";"ELESBAO VELOSO";"PI"
"63991";"ELIAS FAUSTO";"SP"
"10715";"ELISEU MARTINS";"PI"
"29750";"ELISIARIO";"SP"
"35050";"ELISIO MEDRADO";"BA"
"44717";"ELOI MENDES";"MG"
"20192";"EMAS";"PB"
"72516";"EMBAUBA";"SP"
"64017";"EMBU";"SP"
"64033";"EMBU-GUACU";"SP"
"29610";"EMILIANOPOLIS";"SP"
"86339";"ENCANTADO";"RS"
"16659";"ENCANTO";"RN"
"35076";"ENCRUZILHADA";"BA"
"86355";"ENCRUZILHADA DO SUL";"RS"
"75450";"ENEAS MARQUES";"PR"
"75477";"ENGENHEIRO BELTRAO";"PR"
"44733";"ENGENHEIRO CALDAS";"MG"
"29491";"ENGENHEIRO COELHO";"SP"
"44750";"ENGENHEIRO NAVARRO";"MG"
"58351";"ENGENHEIRO PAULO DE FRONTIN";"RJ"
"59471";"ENGENHO VELHO";"RS"
"84190";"ENTRE IJUIS";"RS"
"35092";"ENTRE RIOS";"BA"
"09121";"ENTRE RIOS";"SC"
"44776";"ENTRE RIOS DE MINAS";"MG"
"55298";"ENTRE RIOS DO OESTE";"PR"
"84212";"ENTRE RIOS DO SUL";"RS"
"26638";"ENTRE-FOLHAS";"MG"
"02313";"ENVIRA";"AM"
"06513";"EPITACIOLANDIA";"AC"
"16675";"EQUADOR";"RN"
"84174";"EREBANGO";"RS"
"86371";"ERECHIM";"RS"
"12459";"ERERE";"CE"
"33090";"ERICO CARDOSO";"BA"
"09148";"ERMO";"SC"
"84158";"ERNESTINA";"RS"
"86410";"ERVAL GRANDE";"RS"
"86436";"ERVAL SECO";"RS"
"81019";"ERVAL VELHO";"SC"
"44792";"ERVALIA";"MG"
"24031";"ESCADA";"PE"
"86452";"ESMERALDA";"RS"
"44814";"ESMERALDAS";"MG"
"44830";"ESPERA FELIZ";"MG"
"20214";"ESPERANCA";"PB"
"09806";"ESPERANCA DO SUL";"RS"
"08508";"ESPERANCA NOVA";"PR"
"01813";"ESPERANTINA";"TO"
"10731";"ESPERANTINA";"PI"
"07773";"ESPERANTINOPOLIS";"MA"
"08524";"ESPIGAO ALTO DO IGUACU";"PR"
"00256";"ESPIGAO DOESTE";"RO"
"44857";"ESPINOSA";"MG"
"16691";"ESPIRITO SANTO";"RN"
"44873";"ESPIRITO SANTO DO DOURADO";"MG"
"68659";"ESPIRITO SANTO DO PINHAL";"SP"
"72532";"ESPIRITO SANTO DO TURVO";"SP"
"35114";"ESPLANADA";"BA"
"86479";"ESPUMOSO";"RS"
"73016";"ESTACAO";"RS"
"31410";"ESTANCIA";"SE"
"86495";"ESTANCIA VELHA";"RS"
"86517";"ESTEIO";"RS"
"44890";"ESTIVA";"MG"
"29599";"ESTIVA GERBI";"SP"
"09636";"ESTREITO";"MA"
"86533";"ESTRELA";"RS"
"44911";"ESTRELA DALVA";"MG"
"26433";"ESTRELA DE ALAGOAS";"AL"
"44938";"ESTRELA DO INDAIA";"MG"
"64076";"ESTRELA DO NORTE";"SP"
"93513";"ESTRELA DO NORTE";"GO"
"44954";"ESTRELA DO SUL";"MG"
"64050";"ESTRELA DOESTE";"SP"
"09822";"ESTRELA VELHA";"RS"
"35130";"EUCLIDES DA CUNHA";"BA"
"72559";"EUCLIDES DA CUNHA PAULISTA";"SP"
"84131";"EUGENIO DE CASTRO";"RS"
"44970";"EUGENOPOLIS";"MG"
"31178";"EUNAPOLIS";"BA"
"12475";"EUSEBIO";"CE"
"44997";"EWBANK DA CAMARA";"MG"
"97071";"EXTERIOR";"EX"
"45012";"EXTREMA";"MG"
"16713";"EXTREMOZ";"RN"
"24058";"EXU";"PE"
"20230";"FAGUNDES";"PB"
"84115";"FAGUNDES VARELA";"RS"
"97977";"FAINA";"GO"
"45039";"FAMA";"MG"
"45055";"FARIA LEMOS";"MG"
"13870";"FARIAS BRITO";"CE"
"04596";"FARO";"PA"
"55115";"FAROL";"PR"
"86550";"FARROUPILHA";"RS"
"64092";"FARTURA";"SP"
"22578";"FARTURA DO PIAUI";"PI"
"30899";"FATIMA";"BA"
"96830";"FATIMA";"TO"
"90751";"FATIMA DO SUL";"MS"
"75493";"FAXINAL";"PR"
"86576";"FAXINAL DO SOTURNO";"RS"
"81035";"FAXINAL DOS GUEDES";"SC"
"84093";"FAXINALZINHO";"RS"
"93530";"FAZENDA NOVA";"GO"
"99830";"FAZENDA RIO GRANDE";"PR"
"09849";"FAZENDA VILANOVA";"RS"
"01139";"FEIJO";"AC"
"32751";"FEIRA DA MATA";"BA"
"35157";"FEIRA DE SANTANA";"BA"
"27510";"FEIRA GRANDE";"AL"
"24074";"FEIRA NOVA";"PE"
"31437";"FEIRA NOVA";"SE"
"01562";"FEIRA NOVA DO MARANHAO";"MA"
"45071";"FELICIO DOS SANTOS";"MG"
"16730";"FELIPE GUERRA";"RN"
"45110";"FELISBURGO";"MG"
"45136";"FELIXLANDIA";"MG"
"86592";"FELIZ";"RS"
"27537";"FELIZ DESERTO";"AL"
"10367";"FELIZ NATAL";"MT"
"75515";"FENIX";"PR"
"08540";"FERNANDES PINHEIRO";"PR"
"45152";"FERNANDES TOURINHO";"MG"
"30015";"FERNANDO DE NORONHA";"PE"
"01589";"FERNANDO FALCAO";"MA"
"04162";"FERNANDO PEDROZA";"RN"
"64130";"FERNANDO PRESTES";"SP"
"64114";"FERNANDOPOLIS";"SP"
"07960";"FERNAO";"SP"
"64157";"FERRAZ DE VASCONCELOS";"SP"
"06114";"FERREIRA GOMES";"AP"
"24090";"FERREIROS";"PE"
"45179";"FERROS";"MG"
"26832";"FERVEDOURO";"MG"
"84573";"FIGUEIRA";"PR"
"96679";"FIGUEIROPOLIS";"TO"
"98817";"FIGUEIROPOLIS DOESTE";"MT"
"30910";"FILADELFIA";"BA"
"93556";"FILADELFIA";"TO"
"35173";"FIRMINO ALVES";"BA"
"93572";"FIRMINOPOLIS";"GO"
"27553";"FLEXEIRAS";"AL"
"54755";"FLOR DA SERRA DO SUL";"PR"
"09164";"FLOR DO SERTAO";"SC"
"10707";"CAMPO LIMPO DE GOIAS";"GO"
"64173";"FLORA RICA";"SP"
"75531";"FLORAI";"PR"
"16756";"FLORANIA";"RN"
"64190";"FLOREAL";"SP"
"24112";"FLORES";"PE"
"86614";"FLORES DA CUNHA";"RS"
"93599";"FLORES DE GOIAS";"GO"
"10758";"FLORES DO PIAUI";"PI"
"24139";"FLORESTA";"PE"
"75558";"FLORESTA";"PR"
"35190";"FLORESTA AZUL";"BA"
"00523";"FLORESTA DO ARAGUAIA";"PA"
"03140";"FLORESTA DO PIAUI";"PI"
"45195";"FLORESTAL";"MG"
"75574";"FLORESTOPOLIS";"PR"
"10774";"FLORIANO";"PI"
"09865";"FLORIANO PEIXOTO";"RS"
"81051";"FLORIANOPOLIS";"SC"
"75590";"FLORIDA";"PR"
"64211";"FLORIDA PAULISTA";"SP"
"64238";"FLORINEA";"SP"
"02330";"FONTE BOA";"AM"
"86630";"FONTOURA XAVIER";"RS"
"45217";"FORMIGA";"MG"
"86657";"FORMIGUEIRO";"RS"
"93610";"FORMOSA";"GO"
"01600";"FORMOSA DA SERRA NEGRA";"MA"
"75612";"FORMOSA DO OESTE";"PR"
"35211";"FORMOSA DO RIO PRETO";"BA"
"55816";"FORMOSA DO SUL";"SC"
"45233";"FORMOSO";"MG"
"93637";"FORMOSO";"GO"
"93653";"FORMOSO DO ARAGUAIA";"TO"
"15911";"FORQUILHA";"CE"
"09733";"FORQUILHINHA";"SC"
"13897";"FORTALEZA";"CE"
"45250";"FORTALEZA DE MINAS";"MG"
"03450";"FORTALEZA DO TABOCAO";"TO"
"07790";"FORTALEZA DOS NOGUEIRAS";"MA"
"98272";"FORTALEZA DOS VALOS";"RS"
"09873";"FORTIM";"CE"
"07811";"FORTUNA";"MA"
"45276";"FORTUNA DE MINAS";"MG"
"75639";"FOZ DO IGUACU";"PR"
"08567";"FOZ DO JORDAO";"PR"
"81078";"FRAIBURGO";"SC"
"64254";"FRANCA";"SP"
"10790";"FRANCINOPOLIS";"PI"
"79774";"FRANCISCO ALVES";"PR"
"10812";"FRANCISCO AYRES";"PI"
"45292";"FRANCISCO BADARO";"MG"
"75655";"FRANCISCO BELTRAO";"PR"
"16772";"FRANCISCO DANTAS";"RN"
"45314";"FRANCISCO DUMONT";"MG"
"03166";"FRANCISCO MACEDO";"PI"
"64270";"FRANCISCO MORATO";"SP"
"45330";"FRANCISCO SA";"MG"
"10839";"FRANCISCO SANTOS";"PI"
"06084";"FRANCISCOPOLIS";"MG"
"64297";"FRANCO DA ROCHA";"SP"
"13919";"FRECHEIRINHA";"CE"
"86673";"FREDERICO WESTPHALEN";"RS"
"45357";"FREI GASPAR";"MG"
"45373";"FREI INOCENCIO";"MG"
"06106";"FREI LAGONEGRO";"MG"
"20257";"FREI MARTINHO";"PB"
"24155";"FREI MIGUELINHO";"PE"
"31453";"FREI PAULO";"SE"
"09180";"FREI ROGERIO";"SC"
"45390";"FRONTEIRA";"MG"
"49352";"FRONTEIRA DOS VALES";"MG"
"10855";"FRONTEIRAS";"PI"
"06122";"FRUTA DE LEITE";"MG"
"45411";"FRUTAL";"MG"
"17515";"FRUTUOSO GOMES";"RN"
"56430";"FUNDAO";"ES"
"45438";"FUNILANDIA";"MG"
"64319";"GABRIEL MONTEIRO";"SP"
"04804";"GADO BRAVO";"PB"
"64335";"GALIA";"SP"
"45454";"GALILEIA";"MG"
"16799";"GALINHOS";"RN"
"81094";"GALVAO";"SC"
"24171";"GAMELEIRA";"PE"
"06149";"GAMELEIRAS";"MG"
"35238";"GANDU";"BA"
"24198";"GARANHUNS";"PE"
"31496";"GARARU";"SE"
"64351";"GARCA";"SP"
"86690";"GARIBALDI";"RS"
"81132";"GAROPABA";"SC"
"05851";"GARRAFAO DO NORTE";"PA"
"60810";"GARRUCHOS";"RS"
"81159";"GARUVA";"SC"
"81175";"GASPAR";"SC"
"64378";"GASTAO VIDIGAL";"SP"
"10383";"GAUCHA DO NORTE";"MT"
"86711";"GAURAMA";"RS"
"30937";"GAVIAO";"BA"
"07986";"GAVIAO PEIXOTO";"SP"
"03182";"GEMINIANO";"PI"
"86738";"GENERAL CAMARA";"RS"
"75671";"GENERAL CARNEIRO";"PR"
"90778";"GENERAL CARNEIRO";"MT"
"31470";"GENERAL MAYNARD";"SE"
"64394";"GENERAL SALGADO";"SP"
"13935";"GENERAL SAMPAIO";"CE"
"57991";"GENTIL";"RS"
"35254";"GENTIO DO OURO";"BA"
"64416";"GETULINA";"SP"
"86770";"GETULIO VARGAS";"RS"
"10871";"GILBUES";"PI"
"27570";"GIRAU DO PONCIANO";"AL"
"86797";"GIRUA";"RS"
"06165";"GLAUCILANDIA";"MG"
"64432";"GLICERIO";"SP"
"35270";"GLORIA";"BA"
"90794";"GLORIA DE DOURADOS";"MS"
"24210";"GLORIA DO GOITA";"PE"
"01350";"GLORIA DOESTE";"MT"
"84077";"GLORINHA";"RS"
"07838";"GODOFREDO VIANA";"MA"
"99473";"GODOY MOREIRA";"PR"
"06181";"GOIABEIRA";"MG"
"24236";"GOIANA";"PE"
"06203";"GOIANA";"MG"
"93670";"GOIANAPOLIS";"GO"
"93696";"GOIANDIRA";"GO"
"93718";"GOIANESIA";"GO"
"06270";"GOIANESIA DO PARA";"PA"
"93734";"GOIANIA";"GO"
"16810";"GOIANINHA";"RN"
"93750";"GOIANIRA";"GO"
"96997";"GOIANORTE";"TO"
"93777";"GOIAS";"GO"
"95338";"GOIATINS";"TO"
"93793";"GOIATUBA";"GO"
"75698";"GOIO-ERE";"PR"
"08583";"GOIOXIM";"PR"
"45470";"GONCALVES";"MG"
"07854";"GONCALVES DIAS";"MA"
"35297";"GONGOGI";"BA"
"45497";"GONZAGA";"MG"
"45519";"GOUVEA";"MG"
"97993";"GOUVELANDIA";"GO"
"07870";"GOVERNADOR ARCHER";"MA"
"81116";"GOVERNADOR CELSO RAMOS";"SC"
"16837";"GOVERNADOR DIX-SEPT ROSADO";"RN"
"01627";"GOVERNADOR EDISON LOBAO";"MA"
"07897";"GOVERNADOR EUGENIO BARROS";"MA"
"06939";"GOVERNADOR JORGE TEIXEIRA";"RO"
"01643";"GOVERNADOR LUIZ ROCHA";"MA"
"35319";"GOVERNADOR MANGABEIRA";"BA"
"01660";"GOVERNADOR NEWTON BELLO";"MA"
"01686";"GOVERNADOR NUNES FREIRE";"MA"
"45535";"GOVERNADOR VALADARES";"MG"
"12491";"GRACA";"CE"
"07919";"GRACA ARANHA";"MA"
"31518";"GRACCHO CARDOSO";"SE"
"07935";"GRAJAU";"MA"
"86819";"GRAMADO";"RS"
"59498";"GRAMADO DOS LOUREIROS";"RS"
"57630";"GRAMADO XAVIER";"RS"
"79596";"GRANDES RIOS";"PR"
"24252";"GRANITO";"PE"
"13951";"GRANJA";"CE"
"13978";"GRANJEIRO";"CE"
"45551";"GRAO MOGOL";"MG"
"81191";"GRAO PARA";"SC"
"24279";"GRAVATA";"PE"
"86835";"GRAVATAI";"RS"
"81213";"GRAVATAL";"SC"
"13994";"GROAIRAS";"CE"
"16853";"GROSSOS";"RN"
"45578";"GRUPIARA";"MG"
"84050";"GUABIJU";"RS"
"81230";"GUABIRUBA";"SC"
"56456";"GUACUI";"ES"
"10898";"GUADALUPE";"PI"
"86851";"GUAIBA";"RS"
"64459";"GUAICARA";"SP"
"64475";"GUAIMBE";"SP"
"64491";"GUAIRA";"SP"
"75710";"GUAIRA";"PR"
"75736";"GUAIRACA";"PR"
"12513";"GUAIUBA";"CE"
"09679";"GUAJARA";"AM"
"00019";"GUAJARA-MIRIM";"RO"
"30953";"GUAJERU";"BA"
"16870";"GUAMARE";"RN"
"08605";"GUAMIRANGA";"PR"
"35335";"GUANAMBI";"BA"
"45594";"GUANHAES";"MG"
"45616";"GUAPE";"MG"
"64513";"GUAPIACU";"SP"
"64530";"GUAPIARA";"SP"
"29076";"GUAPIMIRIM";"RJ"
"75752";"GUAPIRAMA";"PR"
"93815";"GUAPO";"GO"
"86878";"GUAPORE";"RS"
"75779";"GUAPOREMA";"PR"
"64556";"GUARA";"SP"
"20273";"GUARABIRA";"PB"
"64572";"GUARACAI";"SP"
"64599";"GUARACI";"SP"
"75795";"GUARACI";"PR"
"45632";"GUARACIABA";"MG"
"81256";"GUARACIABA";"SC"
"14010";"GUARACIABA DO NORTE";"CE"
"06220";"GUARACIAMA";"MG"
"96270";"GUARAI";"TO"
"00655";"GUARAITA";"GO"
"14036";"GUARAMIRANGA";"CE"
"81272";"GUARAMIRIM";"SC"
"45659";"GUARANESIA";"MG"
"45675";"GUARANI";"MG"
"86894";"GUARANI DAS MISSOES";"RS"
"93831";"GUARANI DE GOIAS";"GO"
"64610";"GUARANI DOESTE";"SP"
"75817";"GUARANIACU";"PR"
"64637";"GUARANTA";"SP"
"98876";"GUARANTA DO NORTE";"MT"
"56472";"GUARAPARI";"ES"
"75833";"GUARAPUAVA";"PR"
"75850";"GUARAQUECABA";"PR"
"45691";"GUARARA";"MG"
"64653";"GUARARAPES";"SP"
"64670";"GUARAREMA";"SP"
"35351";"GUARATINGA";"BA"
"64696";"GUARATINGUETA";"SP"
"75876";"GUARATUBA";"PR"
"45713";"GUARDA-MOR";"MG"
"64718";"GUAREI";"SP"
"64734";"GUARIBA";"SP"
"03204";"GUARIBAS";"PI"
"99937";"GUARINOS";"GO"
"64750";"GUARUJA";"SP"
"81299";"GUARUJA DO SUL";"SC"
"64777";"GUARULHOS";"SP"
"55832";"GUATAMBU";"SC"
"72575";"GUATAPARA";"SP"
"45730";"GUAXUPE";"MG"
"90816";"GUIA LOPES DA LAGUNA";"MS"
"45756";"GUIDOVAL";"MG"
"07951";"GUIMARAES";"MA"
"45772";"GUIMARANIA";"MG"
"90832";"GUIRATINGA";"MT"
"45799";"GUIRICEMA";"MG"
"45810";"GURINHATA";"MG"
"20290";"GURINHEM";"PB"
"20311";"GURJAO";"PB"
"04618";"GURUPA";"PA"
"93858";"GURUPI";"TO"
"64793";"GUZOLANDIA";"SP"
"84034";"HARMONIA";"RS"
"93874";"HEITORAI";"GO"
"45837";"HELIODORA";"MG"
"30970";"HELIOPOLIS";"BA"
"64815";"HERCULANDIA";"SP"
"86398";"HERVAL";"RS"
"81310";"HERVAL DOESTE";"SC"
"09881";"HERVEIRAS";"RS"
"14052";"HIDROLANDIA";"CE"
"93890";"HIDROLANDIA";"GO"
"93912";"HIDROLINA";"GO"
"29530";"HOLAMBRA";"SP"
"99813";"HONORIO SERPA";"PR"
"12530";"HORIZONTE";"CE"
"86916";"HORIZONTINA";"RS"
"29513";"HORTOLANDIA";"SP"
"10910";"HUGO NAPOLEAO";"PI"
"60852";"HULHA NEGRA";"RS"
"02356";"HUMAITA";"AM"
"86959";"HUMAITA";"RS"
"07978";"HUMBERTO DE CAMPOS";"MA"
"64831";"IACANGA";"SP"
"93939";"IACIARA";"GO"
"64858";"IACRI";"SP"
"35378";"IACU";"BA"
"45853";"IAPU";"MG"
"72591";"IARAS";"SP"
"24295";"IATI";"PE"
"75892";"IBAITI";"PR"
"84018";"IBARAMA";"RS"
"12556";"IBARETAMA";"CE"
"64874";"IBATE";"SP"
"27596";"IBATEGUARA";"AL"
"57096";"IBATIBA";"ES"
"99490";"IBEMA";"PR"
"45870";"IBERTIOGA";"MG"
"45896";"IBIA";"MG"
"86975";"IBIACA";"RS"
"45918";"IBIAI";"MG"
"09202";"IBIAM";"SC"
"14079";"IBIAPINA";"CE"
"20338";"IBIARA";"PB"
"35394";"IBIASSUCE";"BA"
"35416";"IBICARAI";"BA"
"81337";"IBICARE";"SC"
"35432";"IBICOARA";"BA"
"35459";"IBICUI";"BA"
"12572";"IBICUITINGA";"CE"
"24317";"IBIMIRIM";"PE"
"35475";"IBIPEBA";"BA"
"35513";"IBIPITANGA";"BA"
"75914";"IBIPORA";"PR"
"35530";"IBIQUERA";"BA"
"64890";"IBIRA";"SP"
"06246";"IBIRACATU";"MG"
"45934";"IBIRACI";"MG"
"56499";"IBIRACU";"ES"
"86991";"IBIRAIARAS";"RS"
"24333";"IBIRAJUBA";"PE"
"81353";"IBIRAMA";"SC"
"35556";"IBIRAPITANGA";"BA"
"35572";"IBIRAPUA";"BA"
"72990";"IBIRAPUITA";"RS"
"64912";"IBIRAREMA";"SP"
"35599";"IBIRATAIA";"BA"
"45950";"IBIRITE";"MG"
"87017";"IBIRUBA";"RS"
"35610";"IBITIARA";"BA"
"64939";"IBITINGA";"SP"
"60119";"IBITIRAMA";"ES"
"35637";"IBITITA";"BA"
"45977";"IBITIURA DE MINAS";"MG"
"72613";"IBITIUVA";"SP"
"45993";"IBITURUNA";"MG"
"64955";"IBIUNA";"SP"
"35653";"IBOTIRAMA";"BA"
"15938";"ICAPUI";"CE"
"81370";"ICARA";"SC"
"26930";"ICARAI DE MINAS";"MG"
